Proportions,Returns,Profits,Accuracy,Precision,Best_Params,Deployed_Capital,Returned_Capital,36 Month Returns,36 Month Deployed Capital,36 Month Returned Capital,60 Month Returns,60 Month Deployed Capital,60 Month Returned Capital,model
0.17500000000000002,6.4,3904400.3579997867,0.22372887833026553,0.968416269029766,"{'C': 0.05, 'penalty': 'l1'}",61304500.0,65208900.35799979,6.3,60271125.0,64065432.46199979,10.65,1033375.0,1143467.8960000002,LogisticRegression
0.18000000000000002,6.4,4288006.9409998655,0.22621284401332425,0.9676683937823835,"{'C': 0.55, 'penalty': 'l1'}",66963025.0,71251031.94099987,6.34,65858650.0,70035963.89299987,10.02,1104375.0,1215068.0480000004,LogisticRegression
0.18500000000000003,6.4,4592663.3739999235,0.22839109084308343,0.9665577551412646,"{'C': 0.55, 'penalty': 'l1'}",71879050.0,76471713.37399992,6.32,70685825.0,75152692.90499993,10.54,1193225.0,1319020.469,LogisticRegression
0.19000000000000003,6.4,5052294.934999913,0.23121262109332705,0.9660450387051372,"{'C': 0.45, 'penalty': 'l1'}",78470050.0,83522344.93499991,6.36,77194300.0,82107656.93299991,10.89,1275750.0,1414688.002,LogisticRegression
0.19500000000000003,6.5,5484662.384999812,0.23414242677078093,0.9664614387556708,"{'C': 0.35000000000000003, 'penalty': 'l1'}",84856650.0,90341312.38499981,6.39,83480900.0,88816516.09299982,10.83,1375750.0,1524796.2920000001,LogisticRegression
0.20000000000000004,6.5,5913767.103999913,0.23654996274051476,0.9668289713937919,"{'C': 0.15000000000000002, 'penalty': 'l1'}",90473925.0,96387692.10399991,6.45,88865675.0,94599722.59699991,11.17,1608250.0,1787969.507,LogisticRegression
0.20500000000000004,6.5,6337817.803999811,0.2395307215601852,0.9659892746260231,"{'C': 0.5, 'penalty': 'l1'}",97543825.0,103881642.80399981,6.41,95700175.0,101831433.2859998,11.2,1843650.0,2050209.518,LogisticRegression
0.21000000000000002,6.5,6718280.412999868,0.24207837867101467,0.9658153764299016,"{'C': 0.45, 'penalty': 'l1'}",103442325.0,110160605.41299987,6.39,101444675.0,107930020.27599987,11.66,1997650.0,2230585.137,LogisticRegression
0.21500000000000002,6.4,7020980.124999717,0.2444668072124173,0.9653171900617985,"{'C': 0.3, 'penalty': 'l1'}",109039975.0,116060955.12499972,6.35,106882550.0,113674332.41499972,10.62,2157425.0,2386622.7100000004,LogisticRegression
0.22000000000000003,6.5,7499869.56999965,0.2473902437470941,0.9641165324490762,"{'C': 0.1, 'penalty': 'l1'}",115828050.0,123327919.56999965,6.39,113400400.0,120648996.97899964,10.35,2427650.0,2678922.5910000014,LogisticRegression
0.22500000000000003,6.5,7963428.509999588,0.25032004942454794,0.9640939597315437,"{'C': 0.05, 'penalty': 'l1'}",122377175.0,130340603.50999959,6.42,119813225.0,127500431.34999959,10.77,2563950.0,2840172.160000002,LogisticRegression
0.23000000000000004,6.5,8407153.961999506,0.2530396733903584,0.9635532887047072,"{'C': 0.05, 'penalty': 'l1'}",128682100.0,137089253.9619995,6.45,125960800.0,134086740.6129995,10.33,2721300.0,3002513.3490000023,LogisticRegression
0.23500000000000004,6.5,8894364.773999363,0.2563261510633284,0.962003799620038,"{'C': 0.35000000000000003, 'penalty': 'l1'}",137144100.0,146038464.77399936,6.39,134130600.0,142707035.99199936,10.55,3013500.0,3331428.782000003,LogisticRegression
0.24000000000000005,6.4,9201671.498999685,0.2589311304591515,0.9606645025778118,"{'C': 0.05, 'penalty': 'l1'}",143491050.0,152692721.49899969,6.32,140197700.0,149054384.86299968,10.48,3293350.0,3638336.6360000037,LogisticRegression
0.24500000000000002,6.4,9575495.34400028,0.2619055201360449,0.9600727603456116,"{'C': 0.05, 'penalty': 'l1'}",150284700.0,159860195.34400028,6.27,146893850.0,156110382.13000026,10.59,3390850.0,3749813.2140000043,LogisticRegression
0.25000000000000006,6.3,9972065.23600015,0.2646569898157407,0.958771853527007,"{'C': 0.45, 'penalty': 'l1'}",157055075.0,167027140.23600015,6.25,153416025.0,163004400.44300014,10.54,3639050.0,4022739.793000005,LogisticRegression
0.25500000000000006,6.3,10393547.149999917,0.26757405720764044,0.9576715176715177,"{'C': 0.35000000000000003, 'penalty': 'l1'}",163998525.0,174392072.14999992,6.23,160107800.0,170082748.2669999,10.76,3890725.0,4309323.883000006,LogisticRegression
0.26000000000000006,6.4,10891478.411000162,0.2705293394562026,0.9573399250458496,"{'C': 0.05, 'penalty': 'l1'}",170987000.0,181878478.41100016,6.25,166721075.0,177144170.23300016,10.98,4265925.0,4734308.178000006,LogisticRegression
0.26500000000000007,6.4,11298164.018000394,0.2732362251364589,0.9560650207023462,"{'C': 0.05, 'penalty': 'l1'}",177367725.0,188665889.0180004,6.26,172960800.0,183781616.02600038,10.83,4406925.0,4884272.992000005,LogisticRegression
0.2700000000000001,6.4,11843865.549999952,0.27674562280662646,0.9557003734348686,"{'C': 0.45, 'penalty': 'l1'}",185473850.0,197317715.54999995,6.27,180768700.0,192099415.75199994,10.91,4705150.0,5218299.798000002,LogisticRegression
0.2750000000000001,6.4,12457113.160000384,0.2802868661906794,0.955957640788274,"{'C': 0.25, 'penalty': 'l1'}",194065075.0,206522188.16000038,6.3,188892850.0,200796286.28100038,10.7,5172225.0,5725901.879000003,LogisticRegression
0.2800000000000001,6.5,13026220.231999904,0.28373894157585333,0.9560298969766345,"{'C': 0.1, 'penalty': 'l1'}",201695925.0,214722145.2319999,6.35,196312200.0,208781994.3559999,10.34,5383725.0,5940150.876000003,LogisticRegression
0.2850000000000001,6.4,13481552.745999664,0.2867579152521862,0.95483745376679,"{'C': 0.05, 'penalty': 'l1'}",209492950.0,222974502.74599966,6.35,203704325.0,216641215.50799966,9.41,5788625.0,6333287.238000002,LogisticRegression
0.2900000000000001,6.4,13964097.519999474,0.29036921920678693,0.9541095890410959,"{'C': 0.4, 'penalty': 'l1'}",218585125.0,232549222.51999947,6.3,212394975.0,225765992.5259995,9.58,6190150.0,6783229.993999999,LogisticRegression
0.2950000000000001,6.4,14423088.699999511,0.2933499780264574,0.952997111218103,"{'C': 0.05, 'penalty': 'l1'}",225787900.0,240210988.6999995,6.29,219268375.0,233053051.7329995,9.79,6519525.0,7157936.966999998,LogisticRegression
0.3000000000000001,6.4,14961782.27799946,0.29665556312775865,0.9520989374673402,"{'C': 0.45, 'penalty': 'l1'}",234301350.0,249263132.27799946,6.28,227247575.0,241529687.49699947,9.64,7053775.0,7733444.780999997,LogisticRegression
0.30500000000000005,6.4,15487148.63199979,0.2996872750896457,0.9508399348277993,"{'C': 0.1, 'penalty': 'l1'}",242548300.0,258035448.6319998,6.27,235035875.0,249781162.2609998,9.88,7512425.0,8254286.3709999975,LogisticRegression
0.31000000000000005,6.4,16089520.220999897,0.3032094110453674,0.9503092112400998,"{'C': 0.45, 'penalty': 'l1'}",251037225.0,267126745.2209999,6.3,243168200.0,258477907.6809999,9.91,7869025.0,8648837.539999997,LogisticRegression
0.31500000000000006,6.4,16580115.989000142,0.30659779500277057,0.9496640772622297,"{'C': 0.2, 'penalty': 'l1'}",258916650.0,275496765.98900014,6.3,250721225.0,266506153.05600014,9.7,8195425.0,8990612.932999996,LogisticRegression
0.32000000000000006,6.4,17096357.691999674,0.30986516524740937,0.9492845867915881,"{'C': 0.05, 'penalty': 'l1'}",266716875.0,283813232.6919997,6.3,258028650.0,274282992.1999997,9.69,8688225.0,9530240.492,LogisticRegression
0.32500000000000007,6.4,17560606.218000352,0.313208965205373,0.9482044198895028,"{'C': 0.05, 'penalty': 'l1'}",275094775.0,292655381.21800035,6.28,265949950.0,282640411.1000004,9.52,9144825.0,10014970.117999999,LogisticRegression
0.33000000000000007,6.4,18140720.498999894,0.3166801480188781,0.9478394027850887,"{'C': 0.1, 'penalty': 'l1'}",283431925.0,301572645.4989999,6.28,273758600.0,290943456.1009999,9.88,9673325.0,10629189.397999998,LogisticRegression
0.3350000000000001,6.4,18657434.672000527,0.31996025654907106,0.9476305744344102,"{'C': 0.1, 'penalty': 'l1'}",291444375.0,310101809.6720005,6.28,281202450.0,298854911.38300055,9.81,10241925.0,11246898.289,LogisticRegression
0.3400000000000001,6.4,19301692.628000617,0.3234569159336845,0.9475136871634767,"{'C': 0.05, 'penalty': 'l1'}",299400400.0,318702092.6280006,6.33,288572825.0,306827252.57000065,9.67,10827575.0,11874840.057999993,LogisticRegression
0.3450000000000001,6.5,19883523.20900011,0.3270745890310623,0.9470146302886516,"{'C': 0.05, 'penalty': 'l1'}",308028525.0,327912048.2090001,6.33,296604075.0,315381672.8470001,9.68,11424450.0,12530375.361999992,LogisticRegression
0.3500000000000001,6.4,20468573.743000507,0.3308642289834211,0.9461486025903204,"{'C': 0.35000000000000003, 'penalty': 'l1'}",317515525.0,337984098.7430005,6.33,305611600.0,324946278.11100054,9.53,11903925.0,13037820.631999988,LogisticRegression
0.3550000000000001,6.5,21107567.695000887,0.3343354117969263,0.9460334592552617,"{'C': 0.4, 'penalty': 'l1'}",325698275.0,346805842.6950009,6.36,312992225.0,332891483.2040009,9.51,12706050.0,13914359.490999997,LogisticRegression
0.3600000000000001,6.5,21623696.78700161,0.3375390906137943,0.9454346593210726,"{'C': 0.1, 'penalty': 'l1'}",333255900.0,354879596.7870016,6.35,319754575.0,340068310.6240016,9.7,13501325.0,14811286.162999988,LogisticRegression
0.3650000000000001,6.5,22138919.70600164,0.3409211054284204,0.9448899774819263,"{'C': 0.5, 'penalty': 'l1'}",341795625.0,363934544.70600164,6.35,327767875.0,348590533.51900166,9.38,14027750.0,15344011.18699999,LogisticRegression
0.3700000000000001,6.5,22688614.00400096,0.3443222276713777,0.9441041642590239,"{'C': 0.55, 'penalty': 'l1'}",350401050.0,373089664.00400096,6.36,335828725.0,357200700.09600097,9.04,14572325.0,15888963.907999987,LogisticRegression
0.3750000000000001,6.5,23435561.228000343,0.34793353162597845,0.9438599128212837,"{'C': 0.15000000000000002, 'penalty': 'l1'}",359070425.0,382505986.22800034,6.4,343770125.0,365775675.40900034,9.35,15300300.0,16730310.818999995,LogisticRegression
0.3800000000000001,6.6,24052358.10100043,0.3511881635850631,0.9436417778758134,"{'C': 0.35000000000000003, 'penalty': 'l1'}",366739725.0,390792083.1010004,6.42,350868325.0,373404641.03500044,9.55,15871400.0,17387442.065999996,LogisticRegression
0.3850000000000001,6.5,24449499.54799968,0.3542453521180584,0.9426999028811913,"{'C': 0.05, 'penalty': 'l1'}",374904350.0,399353849.5479997,6.37,358339850.0,381167121.91099966,9.79,16564500.0,18186727.637000006,LogisticRegression
0.39000000000000007,6.5,24943207.157999635,0.35733438636493914,0.9418391775806224,"{'C': 0.05, 'penalty': 'l1'}",383030175.0,407973382.15799963,6.36,365741250.0,388999239.79099965,9.75,17288925.0,18974142.36700001,LogisticRegression
0.3950000000000001,6.5,25510521.1789999,0.36060175660957794,0.9412838978670618,"{'C': 0.4, 'penalty': 'l1'}",391372675.0,416883196.1789999,6.37,373360700.0,397137734.0569999,9.62,18011975.0,19745462.121999998,LogisticRegression
