Proportions,Returns,Accuracy,Precision,Best_Params,Deployed_Capital,Returned_Capital,36 Month Returns,36 Month Deployed Capital,36 Month Returned Capital,60 Month Returns,60 Month Deployed Capital,60 Month Returned Capital
0.025,8.0,0.19751985580260753,1.0,"{'C': 0.05, 'penalty': 'l1'}",208550.0,225252.08300000004,8.01,208550.0,225252.08300000004,,0.0,0.0
0.030000000000000002,7.2,0.19754533237371583,1.0,"{'C': 0.05, 'penalty': 'l1'}",307200.0,329256.348,7.18,307200.0,329256.348,,0.0,0.0
0.035,8.7,0.1976026546587095,1.0,"{'C': 0.05, 'penalty': 'l1'}",520750.0,565880.701,8.67,520750.0,565880.701,,0.0,0.0
0.04000000000000001,8.9,0.197647238658149,1.0,"{'C': 0.55, 'penalty': 'l1'}",695325.0,757081.8999999999,8.88,695325.0,757081.8999999999,,0.0,0.0
0.045000000000000005,8.9,0.19766634608648023,1.0,"{'C': 0.05, 'penalty': 'l1'}",743900.0,809855.2839999998,8.87,743900.0,809855.2839999998,,0.0,0.0
0.05,8.8,0.1976981918003656,1.0,"{'C': 0.05, 'penalty': 'l1'}",844200.0,918319.148,8.78,844200.0,918319.148,,0.0,0.0
0.05500000000000001,8.6,0.19776188322813631,1.0,"{'C': 0.1, 'penalty': 'l1'}",1031550.0,1119956.406,8.57,1031550.0,1119956.406,,0.0,0.0
0.060000000000000005,8.4,0.1978637895125695,1.0,"{'C': 0.1, 'penalty': 'l1'}",1405075.0,1523135.296,8.4,1405075.0,1523135.296,,0.0,0.0
0.065,6.2,0.19799117236811098,0.9880952380952381,"{'C': 0.2, 'penalty': 'l1'}",1864825.0,1980674.5089999996,6.21,1864825.0,1980674.5089999996,,0.0,0.0
0.07,6.5,0.19820772322253147,0.9915254237288136,"{'C': 0.05, 'penalty': 'l1'}",2398375.0,2553715.074,6.48,2368375.0,2521827.354,6.29,30000.0,31887.72
0.07500000000000001,6.8,0.19836695179195832,0.993006993006993,"{'C': 0.05, 'penalty': 'l1'}",2921375.0,3119290.2139999997,6.78,2891375.0,3087402.4939999995,6.29,30000.0,31887.72
0.08000000000000002,6.6,0.19855165693249346,0.9885057471264368,"{'C': 0.05, 'penalty': 'l1'}",3450300.0,3677253.4420000003,6.58,3420300.0,3645365.722,6.29,30000.0,31887.72
0.08500000000000002,7.0,0.199029342640774,0.9841897233201581,"{'C': 0.05, 'penalty': 'l1'}",4615025.0,4936199.862000002,6.75,4523025.0,4828107.200000001,17.49,92000.0,108092.66200000001
