Proportion,Layers,Nodes,Activations,Returns,36_Returns,60_Returns,Deployed_Capital,36_Deployed,60_Deployed
4.0,3,"[61, 52, 19]","['tanh', 'relu', 'relu']",3.6515,4.5497,1.9452,2270439950.0,1487449075.0,782990875.0
0.1,4,"[27, 59, 55, 47]","['softmax', 'tanh', 'softmax', 'softmax']",,,,0.0,0.0,0.0
0.2625,4,"[17, 54, 38, 35]","['tanh', 'tanh', 'relu', 'relu']",,,,0.0,0.0,0.0
0.42500000000000004,4,"[20, 34, 25, 57]","['relu', 'tanh', 'tanh', 'relu']",,,,0.0,0.0,0.0
0.5875,4,"[18, 33, 23, 31]","['softmax', 'tanh', 'tanh', 'softmax']",,,,0.0,0.0,0.0
0.75,4,"[23, 54, 29, 39]","['tanh', 'tanh', 'relu', 'softmax']",,,,0.0,0.0,0.0
0.9125,4,"[51, 28, 53, 58]","['tanh', 'softmax', 'softmax', 'relu']",,,,0.0,0.0,0.0
1.0750000000000002,4,"[51, 63, 20, 48]","['softmax', 'tanh', 'tanh', 'relu']",3.6031,4.4891,1.9044,2273574925.0,1494241700.0,779333225.0
1.2375,4,"[57, 40, 63, 46]","['tanh', 'softmax', 'softmax', 'relu']",3.4902,4.5099,1.5454,2272378825.0,1490753575.0,781625250.0
1.4000000000000001,4,"[50, 59, 39, 56]","['softmax', 'relu', 'softmax', 'relu']",3.6496,4.4589,2.0904,2271506400.0,1495386575.0,776119825.0
1.5625000000000002,4,"[28, 26, 26, 41]","['tanh', 'softmax', 'tanh', 'softmax']",3.4595,4.3837,1.6874,2262361750.0,1486847475.0,775514275.0
1.725,4,"[52, 52, 19, 46]","['relu', 'relu', 'softmax', 'tanh']",3.3952,4.3646,1.5444,2272815025.0,1491604775.0,781210250.0
1.8875000000000002,4,"[29, 22, 59, 37]","['tanh', 'tanh', 'softmax', 'tanh']",3.4626,4.3286,1.8158,2266943700.0,1485685925.0,781257775.0
2.0500000000000003,4,"[46, 44, 19, 62]","['relu', 'relu', 'softmax', 'softmax']",3.5373,4.5732,1.5761,2274342625.0,1488268150.0,786074475.0
2.2125000000000004,4,"[45, 24, 54, 29]","['relu', 'softmax', 'tanh', 'tanh']",3.488,4.501,1.5555,2274387250.0,1492157825.0,782229425.0
2.375,4,"[63, 21, 61, 43]","['softmax', 'tanh', 'softmax', 'softmax']",3.4587,4.4189,1.6341,2275521325.0,1490878975.0,784642350.0
2.5375,4,"[41, 18, 58, 47]","['tanh', 'tanh', 'softmax', 'relu']",3.4454,4.4245,1.598,2272668775.0,1485441100.0,787227675.0
2.7,4,"[51, 22, 16, 26]","['softmax', 'tanh', 'softmax', 'tanh']",3.551,4.603,1.5559,2268928425.0,1485584425.0,783344000.0
2.8625000000000003,4,"[36, 42, 43, 29]","['relu', 'relu', 'relu', 'softmax']",3.5793,4.5182,1.7883,2275651975.0,1492992450.0,782659525.0
3.0250000000000004,4,"[35, 41, 62, 56]","['tanh', 'softmax', 'softmax', 'softmax']",3.4712,4.4823,1.5691,2269352500.0,1481770425.0,787582075.0
3.1875,4,"[50, 40, 55, 45]","['relu', 'tanh', 'relu', 'relu']",3.7153,4.6856,1.873,2276665600.0,1491219025.0,785446575.0
3.35,4,"[22, 28, 16, 24]","['softmax', 'tanh', 'relu', 'relu']",3.4914,4.375,1.8107,2274267225.0,1490608575.0,783658650.0
3.5125,4,"[54, 39, 19, 43]","['softmax', 'softmax', 'tanh', 'relu']",3.5823,4.3761,2.0613,2273286175.0,1493696900.0,779589275.0
3.6750000000000003,4,"[38, 19, 22, 27]","['relu', 'tanh', 'tanh', 'softmax']",3.6302,4.4839,1.9879,2267545850.0,1491951400.0,775594450.0
3.8375000000000004,4,"[19, 20, 43, 40]","['tanh', 'tanh', 'softmax', 'tanh']",3.3951,4.5491,1.1981,2271010300.0,1488922575.0,782087725.0
4.0,4,"[18, 18, 48, 27]","['relu', 'tanh', 'relu', 'relu']",3.5822,4.5723,1.7031,2266921625.0,1484715025.0,782206600.0
0.1,5,"[53, 26, 27, 48, 39]","['tanh', 'relu', 'softmax', 'tanh', 'softmax']",,,,0.0,0.0,0.0
0.2625,5,"[18, 23, 28, 57, 58]","['tanh', 'tanh', 'tanh', 'softmax', 'softmax']",,,,0.0,0.0,0.0
0.42500000000000004,5,"[25, 29, 53, 16, 52]","['softmax', 'relu', 'relu', 'relu', 'relu']",,,,0.0,0.0,0.0
0.5875,5,"[32, 33, 59, 35, 24]","['tanh', 'relu', 'relu', 'softmax', 'tanh']",,,,0.0,0.0,0.0
