Proportions,Returns,Accuracy,Precision,Best_Params,Deployed_Capital,Returned_Capital,36 Month Returns,36 Month Deployed Capital,36 Month Returned Capital,60 Month Returns,60 Month Deployed Capital,60 Month Returned Capital
0.15000000000000002,7.4,0.19898475864133447,0.9958333333333333,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",2726200.0,2927830.1250000023,6.93,2604200.0,2784670.749000002,17.34,122000.0,143159.37600000002
0.15500000000000003,9.9,0.1977427757998051,1.0,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",464375.0,510426.05500000005,8.18,408375.0,441777.14900000003,22.59,56000.0,68648.906
0.16000000000000003,7.0,0.2002776946250804,0.9867549668874173,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",5445950.0,5827226.211999995,6.78,5196550.0,5549091.3699999945,11.52,249400.0,278134.84199999995
0.165,4.9,0.19838605922028954,0.98,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",2120550.0,2225231.4660000014,4.84,2103750.0,2205511.5860000015,17.38,16800.0,19719.88
0.17,6.0,0.2048698465673505,0.9825581395348837,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",13594750.0,14408383.530000025,5.84,13225675.0,13997682.687000025,11.28,369075.0,410700.843
0.17500000000000002,6.0,0.19950065920627744,0.973293768545994,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",4411275.0,4676674.164999997,5.76,4300275.0,4548047.443999997,15.88,111000.0,128626.72100000002
0.18000000000000002,6.6,0.2020674237454381,0.9865229110512129,"{'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",7873975.0,8390639.538999995,6.33,7610900.0,8092970.931999994,13.15,263075.0,297668.607
0.18500000000000003,5.2,0.20352595744138796,0.9721946375372393,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",11167300.0,11750516.397000005,5.09,10935300.0,11491517.310000006,11.64,232000.0,258999.087
0.19000000000000003,6.0,0.20576789569891787,0.9758948137326515,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",15499575.0,16433641.599000018,5.85,15009875.0,15888279.335000018,11.37,489700.0,545362.264
0.19500000000000003,6.4,0.2103345710700797,0.9804947668886774,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",26155500.0,27841532.21100002,6.32,25487200.0,27098447.355000023,11.19,668300.0,743084.856
